All,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,Spinach,Eggplants,pili-pili
January,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,,,pili-pili
February,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,,,pili-pili
March,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,,,pili-pili
April,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,Spinach,,pili-pili
May,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,,,Spinach,,
June,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,,,Spinach,,
July,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,Spinach,,pili-pili
August,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,Spinach,,pili-pili
September,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,Spinach,Eggplants,pili-pili
October,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,Spinach,Eggplants,pili-pili
November,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,Spinach,Eggplants,pili-pili
December,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,Spinach,Eggplants,pili-pili
